order,RCP,a3,a2,a1,a0
2,RCP2.6,0,-0.0198632946998996,81.8862194078263,-83949.6436918251
2,RCP4.5,0,-0.0130613032884067,55.3716644757848,-58136.8986124938
2,RCP6.0,0,0.0165884691095227,-64.9708171781507,63959.1605297345
2,RCP8.5,0,0.0444312061725033,-176.484106167858,175614.278395903
3,RCP2.6,0.000145298883194069,-0.913314482967777,1912.91709994921,-1334602.40391603
3,RCP4.5,-0.00022427439053681,1.36601482116832,-2770.89462030362,1872293.53145368
3,RCP6.0,-2.7338283163742E-05,0.18469314438927,-409.483036359746,299272.044888644
3,RCP8.5,-2.09876022881761E-05,0.173485179548328,-440.966165860248,356263.99954439
