date;year;DOY;dBM
2021-08-03;2021;215;0.822857142857174
2021-08-17;2021;229;0.292857142857104
2021-08-31;2021;243;9.49285714285718
2021-09-14;2021;257;7.78071428571424
2021-09-28;2021;271;7.59500000000006
2021-10-12;2021;285;4.78571428571429
2021-10-26;2021;299;7.2621428571428
2022-04-07;2022;97;18.9639285714286
2022-04-19;2022;109;85.1583333333333
2022-05-03;2022;123;80.6271428571429
2022-05-17;2022;137;144.327857142857
2022-05-31;2022;151;30.305
2022-06-14;2022;165;28.82
2022-06-28;2022;179;0
2022-07-12;2022;193;0.0199999999999818
2022-07-26;2022;207;0
2022-08-09;2022;221;1.98999999999998
2022-08-23;2022;235;5.42428571428575
2022-09-06;2022;249;12.0085714285714
2022-09-20;2022;263;11.1985714285714
2022-10-04;2022;277;6.78571428571429
2022-10-18;2022;291;6.08857142857141
2022-11-01;2022;305;5.91357142857149
2022-11-15;2022;319;1.20571428571423
